timestamp,event_type,coding_agent,tool_name,execution_time,working_dir,session_id,message_text,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,model
2026-05-20T10:00:00.000Z,user_prompt,cursor,,,/sample-repo,session-1,"Add a helloWorld helper to utils and run the tests.",,,,,claude-3-5-sonnet-20241022
2026-05-20T10:00:03.000Z,tool_call,cursor,Read,0.2,/sample-repo,session-1,,,,,,claude-3-5-sonnet-20241022
2026-05-20T10:00:06.000Z,tool_call,cursor,Grep,0.1,/sample-repo,session-1,,,,,,claude-3-5-sonnet-20241022
2026-05-20T10:00:10.000Z,tool_call,cursor,StrReplace,0.3,/sample-repo,session-1,,,,,,claude-3-5-sonnet-20241022
2026-05-20T10:00:15.000Z,tool_call,cursor,Shell,0.8,/sample-repo,session-1,,,,,,claude-3-5-sonnet-20241022
2026-05-20T10:00:16.000Z,assistant_response,cursor,,0.0,/sample-repo,session-1,,1400,320,120,480,claude-3-5-sonnet-20241022
2026-05-21T09:20:00.000Z,user_prompt,cursor,,,/sample-repo,session-2,"Update the README with a usage example.",,,,,claude-3-5-sonnet-20241022
2026-05-21T09:20:03.000Z,tool_call,cursor,Read,0.1,/sample-repo,session-2,,,,,,claude-3-5-sonnet-20241022
2026-05-21T09:20:07.000Z,tool_call,cursor,StrReplace,0.2,/sample-repo,session-2,,,,,,claude-3-5-sonnet-20241022
2026-05-21T09:20:10.000Z,tool_call,cursor,Task,1.5,/sample-repo,session-2,,,,,,claude-3-5-sonnet-20241022
2026-05-21T09:20:12.000Z,assistant_response,cursor,,0.0,/sample-repo,session-2,,900,180,60,260,claude-3-5-sonnet-20241022
